#nodeA	nodeB	score1
C00012	C03011	NaN
C00017	C16739	NaN
C00018	C00250	NaN
C00018	C00627	NaN
C00018	C00647	NaN
C00250	C00314	NaN
C00250	C00534	NaN
C00627	C00314	NaN
C00647	C00534	NaN
C00019	C00021	NaN
C00019	C00073	NaN
C00019	C00170	NaN
C00019	C01137	NaN
C00021	C00155	NaN
C00021	C00212	NaN
C00073	C00155	NaN
C00073	C01180	NaN
C00073	C02430	NaN
C00073	C15999	NaN
C00170	C00147	NaN
C00170	C01137	NaN
C00170	C04188	NaN
C00212	C00147	NaN
C00212	C05692	NaN
C00022	C00024	ea706f06
C00022	C00036	747a58a6
C00022	C00041	NaN
C00022	C00074	NaN
C00022	C00149	747a58a6
C00022	C00186	NaN
C00022	C00270	NaN
C00022	C01127	NaN
C00022	C02119	NaN
C00022	C02514	NaN
C00022	C05125	NaN
C00022	C05946	NaN
C00022	C20485	NaN
C00024	C00033	NaN
C00024	C00083	NaN
C00024	C00222	NaN
C00024	C00264	NaN
C00024	C00356	NaN
C00024	C02232	5fd97390
C00024	C03939	NaN
C00024	C05259	5fd97390
C00024	C05261	NaN
C00024	C05263	NaN
C00024	C05265	5fd97390
C00024	C05267	5fd97390
C00024	C05269	NaN
C00024	C07118	5fd97390
C00024	C16330	5fd97390
C00024	C16334	NaN
C00024	C16338	5fd97390
C00024	C16376	NaN
C00024	C16389	5fd97390
C00024	C16466	NaN
C00024	C16471	NaN
C00036	C00049	1baa9312
C00036	C00074	d3df33b3
C00036	C00149	NaN
C00036	C00158	9bd4d05a
C00036	C02362	NaN
C00041	C00097	NaN
C00041	C00328	NaN
C00041	C00886	NaN
C00041	C02700	NaN
C00041	C02999	NaN
C00041	C03227	NaN
C00041	C05688	NaN
C00074	C00631	NaN
C00149	C00122	NaN
C00270	C00128	NaN
C00270	C00645	NaN
C00270	C04015	NaN
C00270	C04017	NaN
C00270	C04730	NaN
C00270	C04884	NaN
C00270	C04927	NaN
C00270	C06128	NaN
C00270	C06139	NaN
C00270	C06140	NaN
C00270	C06241	NaN
C01127	C00048	NaN
C02514	C00122	NaN
C02514	C02167	NaN
C05125	C00068	NaN
C05946	C00048	NaN
C05946	C05947	NaN
C20485	C00048	NaN
C00033	C00084	NaN
C00033	C00227	NaN
C00033	C00357	NaN
C00033	C00437	NaN
C00033	C00548	NaN
C00033	C01288	NaN
C00033	C04598	NaN
C00033	C04675	NaN
C00033	C05727	NaN
C00033	C06376	NaN
C00033	C13636	NaN
C00083	C00264	NaN
C00083	C00288	NaN
C00083	C01209	NaN
C00264	C00640	NaN
C00264	C01086	NaN
C00264	C01656	NaN
C00356	C00109	NaN
C00356	C00418	NaN
C00356	C03231	NaN
C02232	C14145	6b3fa003
C03939	C00229	NaN
C03939	C05744	NaN
C05259	C05258	6b3fa003
C05261	C05260	NaN
C05263	C05262	NaN
C05265	C05264	6b3fa003
C05267	C05266	6b3fa003
C05269	C05268	NaN
C07118	C00512	5fd97390
C16330	C16329	6b3fa003
C16330	C16331	NaN
C16334	C16333	NaN
C16334	C16335	NaN
C16338	C16337	NaN
C16338	C16339	5fd97390
C16376	C16375	NaN
C16389	C16173	5fd97390
C16389	C16388	NaN
C16466	C04675	NaN
C16466	C16470	NaN
C16471	C03069	NaN
C16471	C16469	NaN
C00025	C00026	NaN
C00025	C00064	NaN
C00025	C00415	NaN
C00025	C00669	NaN
C00025	C02987	NaN
C00025	C03287	NaN
C00025	C03541	NaN
C00025	C03912	NaN
C00025	C05928	NaN
C00025	C05929	NaN
C00025	C09332	NaN
C00026	C00091	NaN
C00026	C00311	63bb6355
C00026	C00433	NaN
C00026	C00940	NaN
C00026	C02630	NaN
C00026	C03196	NaN
C00026	C05381	NaN
C00064	C00169	NaN
C00064	C00352	NaN
C00064	C02282	NaN
C00064	C03090	NaN
C00415	C00101	NaN
C00415	C00143	NaN
C00415	C00504	NaN
C00415	C00921	NaN
C00669	C00051	NaN
C00669	C00097	NaN
C00669	C01879	NaN
C02987	C01641	NaN
C03287	C01165	NaN
C03541	C00101	NaN
C03912	C00148	NaN
C05928	C00234	NaN
C05928	C05929	NaN
C09332	C00101	NaN
C00091	C00042	NaN
C00091	C01213	NaN
C00311	C00158	382606b7
C00311	C00417	382606b7
C05381	C00068	NaN
C05381	C16254	NaN
C00029	C00052	NaN
C00029	C00103	NaN
C00029	C00167	NaN
C00052	C00243	NaN
C00052	C00446	NaN
C00103	C00092	NaN
C00103	C00394	NaN
C00103	C01231	NaN
C00167	C00190	NaN
C00167	C00191	NaN
C00167	C03033	NaN
C00031	C00089	NaN
C00031	C00092	NaN
C00031	C00198	NaN
C00031	C00208	NaN
C00031	C00243	NaN
C00031	C00369	NaN
C00031	C00794	NaN
C00031	C01190	NaN
C00031	C05402	NaN
C00031	C05403	NaN
C00089	C00095	NaN
C00089	C00492	NaN
C00092	C00085	NaN
C00092	C01236	NaN
C00092	C04006	NaN
C00243	C00124	NaN
C00794	C00095	NaN
C00794	C01096	NaN
C00794	C05399	NaN
C01190	C00195	NaN
C01190	C01290	NaN
C05402	C00124	NaN
C05402	C05404	NaN
C05403	C05394	NaN
C00032	C00500	NaN
C00032	C00524	NaN
C00032	C02191	NaN
C00500	C00486	NaN
C00524	C02248	NaN
C02191	C01079	NaN
C00084	C00469	NaN
C00084	C00673	NaN
C00084	C04895	NaN
C00357	C00140	NaN
C00357	C00352	NaN
C00357	C04501	NaN
C00437	C00077	NaN
C00548	C00146	NaN
C01288	C01194	NaN
C01288	C04248	NaN
C04598	C03820	NaN
C04598	C04317	NaN
C05727	C05726	NaN
C06376	C06377	NaN
C13636	C00530	NaN
C00049	C00152	NaN
C00049	C00438	NaN
C00049	C02984	NaN
C00049	C03406	9b2e9c81
C00049	C03794	NaN
C00049	C04540	NaN
C00049	C04823	NaN
C00158	C00417	NaN
C00037	C00051	NaN
C00037	C00065	NaN
C00037	C00430	NaN
C00037	C00581	NaN
C00037	C01419	NaN
C00037	C02412	NaN
C00037	C03838	NaN
C00037	C05729	NaN
C00051	C00127	NaN
C00051	C01031	NaN
C00051	C02166	NaN
C00051	C02320	NaN
C00051	C03451	NaN
C00051	C03899	NaN
C00051	C05526	NaN
C00051	C11278	NaN
C00051	C11583	NaN
C00051	C14791	NaN
C00051	C14792	NaN
C00051	C14793	NaN
C00051	C14803	NaN
C00051	C14804	NaN
C00051	C14805	NaN
C00051	C14806	NaN
C00051	C14847	NaN
C00051	C14848	NaN
C00051	C14855	NaN
C00051	C14856	NaN
C00051	C14861	NaN
C00051	C14863	NaN
C00051	C14864	NaN
C00051	C14865	NaN
C00051	C14868	NaN
C00051	C14871	NaN
C00051	C14874	NaN
C00051	C17267	NaN
C00065	C00740	NaN
C00065	C01005	NaN
C00065	C02553	NaN
C00065	C02737	NaN
C00065	C02934	NaN
C00065	C04377	NaN
C00065	C06481	NaN
C00430	C00931	NaN
C00581	C00062	9ef295f3
C00581	C00300	72e53208
C01419	C00097	NaN
C02412	C01642	NaN
C03838	C03090	NaN
C03838	C04376	NaN
C05729	C05726	NaN
C00039	C02128	NaN
C02128	C02374	NaN
C00097	C00606	NaN
C00097	C00957	NaN
C00097	C03125	NaN
C00097	C04352	NaN
C00097	C05526	NaN
C00097	C06751	NaN
C00097	C19691	NaN
C00328	C00108	NaN
C00328	C02700	NaN
C00886	C01635	NaN
C02700	C00058	NaN
C02700	C05653	NaN
C02999	C02713	NaN
C03227	C00632	NaN
C00042	C00122	NaN
C00122	C03406	NaN
C00122	C03794	NaN
C00122	C04823	NaN
C00043	C00203	NaN
C00043	C00645	NaN
C00043	C01170	NaN
C00043	C04501	NaN
C00645	C00140	NaN
C00645	C01170	NaN
C00645	C04257	NaN
C00046	C02073	NaN
C00047	C01931	NaN
C00047	C05341	cdef88bf
C00047	C05552	NaN
C01931	C01646	NaN
C05341	C00099	cdef88bf
C05552	C00120	NaN
C00048	C00160	NaN
C00048	C03303	NaN
C00160	C00988	NaN
C03303	C02179	NaN
C03303	C02303	NaN
C00152	C03402	NaN
C00438	C00169	NaN
C00438	C00337	NaN
C02984	C01638	NaN
C03406	C00062	NaN
C03406	C00327	9b2e9c81
C04540	C01239	NaN
C04823	C04677	NaN
C04823	C04751	NaN
C01031	C00058	NaN
C01031	C14180	NaN
C02166	C00909	NaN
C03451	C00256	NaN
C03451	C00546	NaN
C03899	C02929	NaN
C11278	C19586	NaN
C11583	C07645	NaN
C14791	C14786	NaN
C14792	C14787	NaN
C14793	C14787	NaN
C14803	C14802	NaN
C14804	C14802	NaN
C14805	C14800	NaN
C14806	C14800	NaN
C14847	C14839	NaN
C14848	C14840	NaN
C14855	C14851	NaN
C14856	C14852	NaN
C14861	C14858	NaN
C14863	C14865	NaN
C14864	C14859	NaN
C14865	C14857	NaN
C14868	C06790	NaN
C14871	C14870	NaN
C14874	C11088	NaN
C00446	C00124	NaN
C00053	C00054	NaN
C00053	C00224	NaN
C00224	C00059	NaN
C00058	C00234	NaN
C00058	C05648	NaN
C00058	C05653	NaN
C00058	C11439	NaN
C00058	C15606	NaN
C00234	C00101	NaN
C00234	C00445	NaN
C05648	C05651	NaN
C05653	C00108	NaN
C11439	C11440	NaN
C15606	C01180	NaN
C15606	C08276	NaN
C15606	C15650	NaN
C00061	C00255	NaN
C00255	C01007	NaN
C00062	C00077	7380abca
C00062	C00086	NaN
C00062	C00179	NaN
C00062	C00327	e694e714
C00062	C01201	8bff935e
C00062	C02163	NaN
C00062	C05340	cdef88bf
C00077	C00134	NaN
C00077	C01165	NaN
C00077	C04322	NaN
C00327	C03626	NaN
C01201	C00301	8bff935e
C02163	C01636	NaN
C05340	C00099	cdef88bf
C00352	C00085	NaN
C00352	C00329	NaN
C02282	C01640	NaN
C02282	C06112	NaN
C03090	C00119	NaN
C00740	C02532	NaN
C01005	C03232	NaN
C02553	C01650	NaN
C02737	C00162	NaN
C02737	C00350	NaN
C02737	C05974	NaN
C02934	C00154	NaN
C02934	C00836	NaN
C04377	C01217	NaN
C06481	C16636	NaN
C06481	C16638	NaN
C00066	C03880	NaN
C03880	C03523	NaN
C00068	C00378	NaN
C00068	C03028	NaN
C00068	C13378	NaN
C00068	C15974	NaN
C00068	C15976	NaN
C00068	C15978	NaN
C15974	C00233	NaN
C15974	C15975	NaN
C15976	C00141	NaN
C15976	C15977	NaN
C15978	C00671	NaN
C15978	C15979	NaN
C00071	C00162	NaN
C00071	C00226	NaN
C00071	C00375	NaN
C00162	C00157	NaN
C00162	C00195	NaN
C00162	C00350	NaN
C00162	C00422	NaN
C00162	C00641	NaN
C00162	C00958	NaN
C00162	C01885	NaN
C00162	C01958	NaN
C00162	C02112	NaN
C00162	C04230	NaN
C00162	C04233	NaN
C00162	C04438	NaN
C00162	C05973	NaN
C00162	C11547	NaN
C00162	C12126	NaN
C00162	C12145	NaN
C02430	C01647	NaN
C02430	C03294	NaN
C00631	C00197	NaN
C00134	C00315	NaN
C00134	C00612	NaN
C00134	C02714	NaN
C00078	C00331	NaN
C00078	C03512	NaN
C03512	C01652	NaN
C00079	C00166	NaN
C00079	C02505	NaN
C00079	C03511	NaN
C00166	C02763	NaN
C03511	C01648	NaN
C00082	C01179	NaN
C00082	C01392	NaN
C00082	C02839	NaN
C01179	C05350	NaN
C01392	C05234	NaN
C02839	C00787	NaN
C00288	C00683	NaN
C00288	C03231	NaN
C01209	C05744	NaN
C01209	C05746	NaN
C01209	C05750	NaN
C01209	C05753	NaN
C01209	C05756	NaN
C01209	C05759	NaN
C01209	C05762	NaN
C01209	C16219	NaN
C01209	C20372	NaN
C01209	C20376	NaN
C00673	C00118	NaN
C00673	C01801	NaN
C04895	C03684	NaN
C04895	C20239	NaN
C00085	C00095	NaN
C00085	C00118	NaN
C00085	C00275	NaN
C00085	C00279	NaN
C00085	C00354	NaN
C00085	C00665	NaN
C00095	C01094	NaN
C00118	C00111	NaN
C00118	C00231	NaN
C00118	C00236	NaN
C00118	C00354	NaN
C00275	C00159	NaN
C00275	C00636	NaN
C00279	C00447	NaN
C00279	C05382	NaN
C00354	C00111	NaN
C00087	C00094	NaN
C00492	C00124	NaN
C00492	C01613	NaN
C00090	C01502	NaN
C00090	C04221	NaN
C01213	C00683	NaN
C01213	C06002	NaN
C01236	C00345	NaN
C04006	C00137	NaN
C04006	C04063	NaN
C00093	C00111	NaN
C00093	C00116	NaN
C00093	C00513	NaN
C00093	C00681	NaN
C00093	C03892	NaN
C00111	C00184	NaN
C00111	C00447	NaN
C00111	C01094	NaN
C00111	C03372	NaN
C00116	C00422	NaN
C00116	C00577	NaN
C00116	C01885	NaN
C00116	C02112	NaN
C00116	C05401	NaN
C00681	C00416	NaN
C00681	C01885	NaN
C03892	C00269	NaN
C01094	C00577	NaN
C00096	C00636	NaN
C00096	C01222	NaN
C01222	C00325	NaN
C01222	C14830	NaN
C00606	C00519	NaN
C00606	C05527	NaN
C00957	C05823	NaN
C03125	C01639	NaN
C04352	C01134	NaN
C04352	C03492	NaN
C04352	C04079	NaN
C06751	C07330	NaN
C19691	C03461	NaN
C00099	C00386	42e9f7b7
C00099	C01262	NaN
C00099	C05665	NaN
C00386	C00135	42e9f7b7
C01262	C01152	NaN
C05665	C00750	NaN
C00100	C00163	NaN
C00100	C00683	NaN
C00100	C00894	NaN
C00100	C02557	NaN
C00100	C03344	NaN
C00100	C05449	NaN
C00100	C05467	NaN
C00100	C06002	NaN
C00894	C05668	NaN
C03344	C04405	NaN
C05449	C05337	NaN
C05449	C05448	NaN
C05467	C01794	NaN
C05467	C05450	NaN
C06002	C02170	NaN
C06002	C06001	NaN
C00101	C00143	NaN
C00101	C00440	NaN
C00101	C00445	NaN
C00101	C00504	NaN
C00143	C00440	NaN
C00143	C00445	NaN
C00445	C03479	NaN
C00106	C00299	NaN
C00106	C00526	NaN
C00109	C00332	NaN
C00109	C05984	NaN
C00332	C01144	NaN
C00110	C00381	NaN
C00110	C00621	NaN
C00110	C01246	NaN
C00110	C03862	NaN
C00110	C04500	NaN
C00621	C04213	NaN
C04500	C04537	NaN
C00447	C05382	NaN
C03372	C03129	NaN
C03372	C03715	NaN
C00114	C00157	NaN
C00114	C00576	NaN
C00114	C00588	NaN
C00157	C00219	NaN
C00157	C00416	NaN
C00157	C00641	NaN
C00157	C00670	NaN
C00157	C01595	NaN
C00157	C04230	NaN
C00157	C04233	NaN
C00157	C06427	NaN
C00576	C00719	NaN
C00588	C00307	NaN
C00588	C00550	NaN
C00422	C00165	NaN
C00422	C00641	NaN
C00577	C00258	NaN
C01885	C00165	NaN
C01885	C00641	NaN
C02112	C00641	NaN
C02112	C03974	NaN
C05401	C00124	NaN
C00117	C00119	NaN
C00117	C00121	NaN
C00117	C00199	NaN
C00117	C00301	NaN
C00117	C05382	NaN
C00199	C00231	NaN
C00199	C00345	NaN
C00301	C13050	37f8148e
C00301	C16011	NaN
C00231	C00310	NaN
C00236	C00197	NaN
C00236	C01159	NaN
C00120	C01893	NaN
C00120	C04681	NaN
C00120	C04682	NaN
C00120	C04727	NaN
C00120	C04801	NaN
C04681	C04735	NaN
C04682	C04736	NaN
C04727	C04763	NaN
C04801	C04827	NaN
C00123	C00233	NaN
C00123	C02047	NaN
C02047	C01645	NaN
C00124	C01235	NaN
C00124	C01290	NaN
C00124	C01613	NaN
C00124	C01697	NaN
C00124	C02686	NaN
C00124	C04737	NaN
C00124	C04911	NaN
C00124	C05399	NaN
C00124	C05400	NaN
C00124	C05404	NaN
C00124	C05796	NaN
C00124	C06037	NaN
C00124	C06126	NaN
C00124	C06136	NaN
C01235	C00137	NaN
C01290	C04730	NaN
C01290	C04737	NaN
C01290	C04845	NaN
C01290	C06135	NaN
C02686	C00195	NaN
