C00012	C03011	3e98de67
C00017	C16739	3b5ac4d
C00018	C00250	9d36395d
C00018	C00627	695d9c24
C00018	C00647	695d9c24
C00250	C00314	695d9c24
C00250	C00534	695d9c24
C00627	C00314	9d36395d
C00647	C00534	9d36395d
C00019	C00021	72e53208
C00019	C00073	8c12a2c7
C00019	C00170	550ae2fb
C00019	C01137	6737f1c2
C00021	C00155	95a48a35
C00021	C00212	95a48a35
C00073	C00155	4af83256
C00073	C01180	1baa9312
C00073	C02430	cdceda70
C00073	C15999	c6866f72
C00170	C00147	a94dcfb
C00170	C01137	79554ed7
C00170	C04188	a94dcfb
C00212	C00147	1ecd91fb
C00212	C05692	95a48a35
C00022	C00024	ea706f06
C00022	C00036	747a58a6
C00022	C00041	85b8d5c8
C00022	C00074	9f0e0471
C00022	C00149	747a58a6
C00022	C00186	9c7b9a83
C00022	C00270	6dea0cee
C00022	C01127	6a16b5ea
C00022	C02119	baab14f8
C00022	C02514	baab14f8
C00022	C05125	e84f28c5
C00022	C05946	6a16b5ea
C00022	C20485	6a16b5ea
C00024	C00033	dd1f0e5a
C00024	C00083	83600069
C00024	C00222	71cde308
C00024	C00264	5fd97390
C00024	C00356	64b33d1e
C00024	C02232	5fd97390
C00024	C03939	96525db4
C00024	C05259	5fd97390
C00024	C05261	5fd97390
C00024	C05263	5fd97390
C00024	C05265	5fd97390
C00024	C05267	5fd97390
C00024	C05269	91dc8cd
C00024	C07118	5fd97390
C00024	C16330	5fd97390
C00024	C16334	5fd97390
C00024	C16338	5fd97390
C00024	C16376	5fd97390
C00024	C16389	5fd97390
C00024	C16466	5fd97390
C00024	C16471	5fd97390
C00036	C00049	1baa9312
C00036	C00074	d3df33b3
C00036	C00149	9abc77d2
C00036	C00158	9bd4d05a
C00036	C02362	1322b4cd
C00041	C00097	acf393f7
C00041	C00328	a14839bf
C00041	C00886	85a309f4
C00041	C02700	a14839bf
C00041	C02999	2b31066b
C00041	C03227	a14839bf
C00041	C05688	3e7dac90
C00074	C00631	f9c2d7b5
C00149	C00122	b1255cd7
C00270	C00128	b1c9c8ee
C00270	C00645	1c644224
C00270	C04015	fb1a8524
C00270	C04017	fb1a8524
C00270	C04730	8c096da3
C00270	C04884	8c096da3
C00270	C04927	8c096da3
C00270	C06128	8c096da3
C00270	C06139	8c096da3
C00270	C06140	8c096da3
C00270	C06241	5b5bdbd2
C01127	C00048	6a16b5ea
C02514	C00122	baab14f8
C02514	C02167	d6055bfa
C05125	C00068	e84f28c5
C05946	C00048	6a16b5ea
C05946	C05947	f78c1003
C20485	C00048	6a16b5ea
C00033	C00084	827b37c8
C00033	C00227	2ea4f15b
C00033	C00357	f7a2c09c
C00033	C00437	d45fd43
C00033	C00548	22ca225f
C00033	C01288	a6d75202
C00033	C04598	14dbec73
C00033	C04675	64b33d1e
C00033	C05727	d45fd43
C00033	C06376	f7a2c09c
C00033	C13636	22ca225f
C00083	C00264	31e3d0f6
C00083	C00288	a6367604
C00083	C01209	96525db4
C00264	C00640	6b3fa003
C00264	C01086	c1bfd3f9
C00264	C01656	e12c497
C00356	C00109	64b33d1e
C00356	C00418	ca202753
C00356	C03231	d14849b5
C02232	C14145	6b3fa003
C03939	C00229	96525db4
C03939	C05744	96525db4
C05259	C05258	6b3fa003
C05261	C05260	6b3fa003
C05263	C05262	6b3fa003
C05265	C05264	6b3fa003
C05267	C05266	6b3fa003
C05269	C05268	6b3fa003
C07118	C00512	5fd97390
C16330	C16329	6b3fa003
C16330	C16331	5fd97390
C16334	C16333	6b3fa003
C16334	C16335	5fd97390
C16338	C16337	6b3fa003
C16338	C16339	5fd97390
C16376	C16375	6aafe1da
C16389	C16173	5fd97390
C16389	C16388	6aafe1da
C16466	C04675	64b33d1e
C16466	C16470	5fd97390
C16471	C03069	5fd97390
C16471	C16469	6b3fa003
C00025	C00026	a9fb8951
C00025	C00064	433bab35
C00025	C00415	46182a6
C00025	C00669	61f382df
C00025	C02987	6cc407c7
C00025	C03287	529802da
C00025	C03541	46182a6
C00025	C03912	ae50cb02
C00025	C05928	46182a6
C00025	C05929	46182a6
C00025	C09332	46182a6
C00026	C00091	ea706f06
C00026	C00311	63bb6355
C00026	C00433	7b3e9492
C00026	C00940	1322b4cd
C00026	C02630	8b012b2a
C00026	C03196	8b012b2a
