#label	score1
C00012	null
C00017	null
C00018	null
C00019	null
C00021	null
C00022	null
C00024	null
C00025	2.17205187094136
C00026	1.05521696047186
C00029	null
C00031	null
C00032	null
C00033	null
C00036	null
C00037	null
C00039	null
C00041	null
C00042	null
C00043	null
C00046	null
C00047	null
C00048	null
C00049	2.11110635631959
C00051	null
C00052	null
C00053	null
C00058	null
C00059	null
C00061	null
C00062	3.98113210738668
C00064	-1.38033632932348
C00065	null
C00066	null
C00068	null
C00071	null
C00073	null
C00074	null
C00077	1.89554902274234
C00078	null
C00079	null
C00082	null
C00083	null
C00084	null
C00085	null
C00087	null
C00089	null
C00090	null
C00091	null
C00092	null
C00093	null
C00095	null
C00096	null
C00097	null
C00099	null
C00100	null
C00101	null
C00103	null
C00106	null
C00108	null
C00109	null
C00110	null
C00111	null
C00114	null
C00116	null
C00117	null
C00118	null
C00119	null
C00120	null
C00122	null
C00123	null
C00124	null
C00128	null
C00129	null
C00134	null
C00135	null
C00136	null
C00137	null
C00140	null
C00141	null
C00143	null
C00146	null
C00147	null
C00148	null
C00152	null
C00153	null
C00154	null
C00157	0.231670994846641
C00158	null
C00159	null
C00160	null
C00162	null
C00165	null
C00166	null
C00167	null
C00168	null
C00169	-1.38033632932348
C00170	null
C00173	null
C00180	null
C00181	null
C00183	null
C00187	null
C00188	null
C00189	null
C00191	null
C00194	null
C00195	null
C00197	null
C00199	null
C00212	null
C00217	null
C00218	null
C00219	-0.150994341271835
C00229	null
C00231	null
C00233	null
C00234	null
C00235	null
C00236	null
C00242	null
C00245	null
C00247	null
C00248	null
C00249	null
C00250	null
C00253	null
C00255	null
C00256	null
C00258	null
C00259	null
C00262	null
C00264	null
C00268	null
C00269	null
C00270	null
C00272	null
C00275	null
C00279	null
C00280	null
C00288	null
C00292	null
C00295	null
C00300	null
C00301	null
C00307	null
C00311	1.05325774679468
C00312	null
C00314	null
C00315	null
C00318	null
C00319	null
C00322	null
C00325	null
C00327	-1.38033632932348
C00328	null
C00329	null
C00332	null
C00334	null
C00337	null
C00339	null
C00345	null
C00346	null
C00349	null
C00350	null
C00352	null
C00356	null
C00357	null
C00366	null
C00370	null
C00376	null
C00385	null
C00388	null
C00398	null
C00399	null
C00401	null
C00407	null
C00410	null
C00412	null
C00415	null
C00416	null
C00417	1.39902701918814
C00418	null
C00419	null
C00422	null
C00427	-0.0885709289524517
C00429	null
C00430	null
C00445	null
C00447	null
C00448	null
C00455	null
C00468	null
C00473	null
C00483	null
C00486	null
C00487	null
C00490	4.66443277083667
C00492	null
C00506	null
C00510	null
C00512	null
C00517	null
C00519	null
C00523	null
C00524	null
C00527	null
C00530	null
