#nodeA	nodeB	score1
C00012	C03011	null
C00017	C16739	null
C00018	C00250	null
C00018	C00627	null
C00018	C00647	null
C00250	C00314	null
C00250	C00534	null
C00627	C00314	null
C00647	C00534	null
C00019	C00021	null
C00019	C00073	null
C00019	C00170	null
C00019	C01137	null
C00021	C00155	null
C00021	C00212	null
C00073	C00155	null
C00073	C01180	null
C00073	C02430	null
C00073	C15999	null
C00170	C00147	null
C00170	C01137	null
C00170	C04188	null
C00212	C00147	null
C00212	C05692	null
C00022	C00024	null
C00022	C00036	null
C00022	C00041	-1.09079045889828
C00022	C00074	-0.993214555852063
C00022	C00149	null
C00022	C00186	null
C00022	C00270	null
C00022	C01127	null
C00022	C02119	null
C00022	C02514	null
C00022	C05125	null
C00022	C05946	null
C00022	C20485	null
C00024	C00033	null
C00024	C00083	null
C00024	C00222	null
C00024	C00264	null
C00024	C00356	null
C00024	C02232	null
C00024	C03939	null
C00024	C05259	null
C00024	C05261	null
C00024	C05263	null
C00024	C05265	null
C00024	C05267	null
C00024	C05269	null
C00024	C07118	null
C00024	C16330	null
C00024	C16334	null
C00024	C16338	null
C00024	C16376	null
C00024	C16389	null
C00024	C16466	null
C00024	C16471	null
C00036	C00049	null
C00036	C00074	null
C00036	C00149	null
C00036	C00158	null
C00036	C02362	null
C00041	C00097	null
C00041	C00328	null
C00041	C00886	null
C00041	C02700	null
C00041	C02999	null
C00041	C03227	null
C00041	C05688	null
C00074	C00631	null
C00149	C00122	null
C00270	C00128	null
C00270	C00645	null
C00270	C04015	null
C00270	C04017	null
C00270	C04730	null
C00270	C04884	null
C00270	C04927	null
C00270	C06128	null
C00270	C06139	null
C00270	C06140	null
C00270	C06241	null
C01127	C00048	null
C02514	C00122	null
C02514	C02167	null
C05125	C00068	null
C05946	C00048	null
C05946	C05947	null
C20485	C00048	null
C00033	C00084	null
C00033	C00227	null
C00033	C00357	null
C00033	C00437	null
C00033	C00548	null
C00033	C01288	null
C00033	C04598	null
C00033	C04675	null
C00033	C05727	null
C00033	C06376	null
C00033	C13636	null
C00083	C00264	null
C00083	C00288	null
C00083	C01209	null
C00264	C00640	null
C00264	C01086	null
C00264	C01656	null
C00356	C00109	null
C00356	C00418	null
C00356	C03231	null
C02232	C14145	null
C03939	C00229	null
C03939	C05744	null
C05259	C05258	null
C05261	C05260	null
C05263	C05262	null
C05265	C05264	null
C05267	C05266	null
C05269	C05268	null
C07118	C00512	null
C16330	C16329	null
C16330	C16331	null
C16334	C16333	null
C16334	C16335	null
C16338	C16337	null
C16338	C16339	null
C16376	C16375	null
C16389	C16173	null
C16389	C16388	null
C16466	C04675	null
C16466	C16470	null
C16471	C03069	null
C16471	C16469	null
C00025	C00026	-0.51069743942985
C00025	C00064	null
C00025	C00415	null
C00025	C00669	-1.13044448143014
C00025	C02987	null
C00025	C03287	null
C00025	C03541	null
C00025	C03912	null
C00025	C05928	null
C00025	C05929	null
C00025	C09332	null
C00026	C00091	null
C00026	C00311	-0.312322451136712
C00026	C00433	null
C00026	C00940	null
C00026	C02630	null
C00026	C03196	null
C00026	C05381	null
C00064	C00169	null
C00064	C00352	null
C00064	C02282	null
C00064	C03090	null
C00415	C00101	null
C00415	C00143	null
C00415	C00504	null
C00415	C00921	null
C00669	C00051	-0.745244911672851
C00669	C00097	0.209381888098115
C00669	C01879	0.209381888098115
C02987	C01641	null
C03287	C01165	null
C03541	C00101	null
C03912	C00148	null
C05928	C00234	null
C05928	C05929	null
C09332	C00101	null
C00091	C00042	null
C00091	C01213	null
C00311	C00158	-0.921824814359207
C00311	C00417	null
C05381	C00068	null
C05381	C16254	null
C00029	C00052	null
C00029	C00103	-0.860494238657735
C00029	C00167	-1.01867560503629
C00052	C00243	null
C00052	C00446	null
C00103	C00092	-0.815843994991464
C00103	C00394	null
C00103	C01231	null
C00167	C00190	null
C00167	C00191	null
C00167	C03033	null
C00031	C00089	null
C00031	C00092	null
C00031	C00198	null
C00031	C00208	null
C00031	C00243	null
C00031	C00369	null
C00031	C00794	null
C00031	C01190	null
C00031	C05402	null
C00031	C05403	null
C00089	C00095	null
C00089	C00492	null
C00092	C00085	-1.20154773991089
C00092	C01236	null
C00092	C04006	null
C00243	C00124	null
C00794	C00095	null
C00794	C01096	null
C00794	C05399	null
C01190	C00195	null
C01190	C01290	null
C05402	C00124	null
C05402	C05404	null
C05403	C05394	null
C00032	C00500	null
C00032	C00524	null
C00032	C02191	null
C00500	C00486	null
C00524	C02248	null
C02191	C01079	null
C00084	C00469	null
C00084	C00673	null
C00084	C04895	null
C00357	C00140	null
C00357	C00352	null
C00357	C04501	null
C00437	C00077	null
C00548	C00146	null
C01288	C01194	null
C01288	C04248	null
C04598	C03820	null
C04598	C04317	null
C05727	C05726	null
C06376	C06377	null
C13636	C00530	null
C00049	C00152	null
C00049	C00438	null
C00049	C02984	null
C00049	C03406	0.104005919960796
C00049	C03794	null
C00049	C04540	null
C00049	C04823	null
C00158	C00417	-0.921824814359207
C00037	C00051	-0.745244911672851
C00037	C00065	-0.969469512704826
C00037	C00430	null
C00037	C00581	1.00402643670475
C00037	C01419	null
C00037	C02412	null
C00037	C03838	null
C00037	C05729	null
C00051	C00127	0.100340865913874
C00051	C01031	null
C00051	C02166	null
C00051	C02320	null
C00051	C03451	null
C00051	C03899	null
C00051	C05526	null
C00051	C11278	null
C00051	C11583	null
C00051	C14791	null
C00051	C14792	null
C00051	C14793	null
C00051	C14803	null
C00051	C14804	null
C00051	C14805	null
C00051	C14806	null
C00051	C14847	null
C00051	C14848	null
C00051	C14855	null
C00051	C14856	null
C00051	C14861	null
C00051	C14863	null
C00051	C14864	null
C00051	C14865	null
C00051	C14868	null
C00051	C14871	null
C00051	C14874	null
C00051	C17267	null
C00065	C00740	null
C00065	C01005	null
C00065	C02553	null
C00065	C02737	-1.13176823520515
C00065	C02934	null
C00065	C04377	null
C00065	C06481	null
C00430	C00931	null
C00581	C00062	1.00402643670475
C00581	C00300	null
C01419	C00097	null
C02412	C01642	null
C03838	C03090	null
C03838	C04376	null
C05729	C05726	null
C00039	C02128	null
C02128	C02374	null
C00097	C00606	null
C00097	C00957	null
C00097	C03125	null
C00097	C04352	null
C00097	C05526	null
C00097	C06751	null
C00097	C19691	null
C00328	C00108	null
C00328	C02700	null
C00886	C01635	null
C02700	C00058	null
C02700	C05653	null
C02999	C02713	null
C03227	C00632	null
C00042	C00122	null
C00122	C03406	null
C00122	C03794	null
C00122	C04823	null
C00043	C00203	null
C00043	C00645	null
C00043	C01170	null
C00043	C04501	null
C00645	C00140	null
C00645	C01170	null
C00645	C04257	null
C00046	C02073	null
C00047	C01931	null
C00047	C05341	null
C00047	C05552	null
C01931	C01646	null
C05341	C00099	null
C05552	C00120	null
C00048	C00160	null
C00048	C03303	null
C00160	C00988	null
C03303	C02179	null
C03303	C02303	null
C00152	C03402	null
C00438	C00169	null
C00438	C00337	null
C02984	C01638	null
C03406	C00062	null
C03406	C00327	null
C04540	C01239	null
C04823	C04677	null
C04823	C04751	null
C01031	C00058	null
C01031	C14180	null
C02166	C00909	null
C03451	C00256	null
C03451	C00546	null
C03899	C02929	null
C11278	C19586	null
C11583	C07645	null
C14791	C14786	null
C14792	C14787	null
C14793	C14787	null
C14803	C14802	null
C14804	C14802	null
C14805	C14800	null
C14806	C14800	null
C14847	C14839	null
C14848	C14840	null
C14855	C14851	null
C14856	C14852	null
C14861	C14858	null
C14863	C14865	null
C14864	C14859	null
C14865	C14857	null
C14868	C06790	null
C14871	C14870	null
C14874	C11088	null
C00446	C00124	null
C00053	C00054	null
C00053	C00224	null
C00224	C00059	null
C00058	C00234	null
C00058	C05648	null
C00058	C05653	null
C00058	C11439	null
C00058	C15606	null
C00234	C00101	null
C00234	C00445	null
C05648	C05651	null
C05653	C00108	null
C11439	C11440	null
C15606	C01180	null
C15606	C08276	null
C15606	C15650	null
C00061	C00255	null
C00255	C01007	null
C00062	C00077	5.41403167227253
C00062	C00086	null
C00062	C00179	null
C00062	C00327	6.52563899285349
C00062	C01201	null
C00062	C02163	null
C00062	C05340	null
C00077	C00134	null
C00077	C01165	null
C00077	C04322	null
C00327	C03626	null
C01201	C00301	null
C02163	C01636	null
C05340	C00099	null
C00352	C00085	-0.875514802268016
C00352	C00329	null
C02282	C01640	null
C02282	C06112	null
C03090	C00119	null
C00740	C02532	null
C01005	C03232	null
C02553	C01650	null
C02737	C00162	null
C02737	C00350	-1.13176823520515
C02737	C05974	null
C02934	C00154	null
C02934	C00836	null
C04377	C01217	null
C06481	C16636	null
C06481	C16638	null
C00066	C03880	null
C03880	C03523	null
C00068	C00378	null
C00068	C03028	null
C00068	C13378	null
C00068	C15974	null
C00068	C15976	null
C00068	C15978	null
C15974	C00233	null
C15974	C15975	null
C15976	C00141	null
C15976	C15977	null
C15978	C00671	null
C15978	C15979	null
C00071	C00162	null
C00071	C00226	null
C00071	C00375	null
C00162	C00157	0.463429712671718
C00162	C00195	null
C00162	C00350	null
C00162	C00422	null
C00162	C00641	null
C00162	C00958	null
C00162	C01885	null
C00162	C01958	null
C00162	C02112	null
C00162	C04230	null
C00162	C04233	null
C00162	C04438	null
C00162	C05973	null
C00162	C11547	3.13506111748707
C00162	C12126	null
C00162	C12145	null
C02430	C01647	null
C02430	C03294	null
C00631	C00197	null
C00134	C00315	null
C00134	C00612	null
C00134	C02714	null
C00078	C00331	null
C00078	C03512	null
C03512	C01652	null
C00079	C00166	null
C00079	C02505	null
C00079	C03511	null
C00166	C02763	null
C03511	C01648	null
C00082	C01179	null
